PlayerName,PlayerCode,TotalRaidAttacks,TitanNumber,TitanName,TitanDamage,ArmorHead,ArmorTorso,ArmorLeftArm,ArmorRightArm,ArmorLeftHand,ArmorRightHand,ArmorLeftLeg,ArmorRightLeg,BodyHead,BodyTorso,BodyLeftArm,BodyRightArm,BodyLeftHand,BodyRightHand,BodyLeftLeg,BodyRightLeg,SkeletonHead,SkeletonTorso,SkeletonLeftArm,SkeletonRightArm,SkeletonLeftHand,SkeletonRightHand,SkeletonLeftLeg,SkeletonRightLeg
Glitch (╯°□°)╯︵︵,myb5bkn,28,0,Mohaca the Gale,4373853,1111573,0,0,0,12198,0,0,0,0,0,2384644,865436,0,0,0,0,0,0,0,0,0,0,0,0
Glitch (╯°□°)╯︵︵,myb5bkn,28,1,Sterl the Unmaker,8764454,1068809,981227,0,0,0,0,0,747762,0,0,0,0,0,0,0,1592802,0,0,0,0,0,0,0,0
Glitch (╯°□°)╯︵︵,myb5bkn,28,2,Mohaca the Gale,13144657,1106157,0,0,0,0,0,0,2391908,0,0,0,882136,0,0,0,0,0,0,0,0,0,0,0,0
Glitch (╯°□°)╯︵︵,myb5bkn,28,3,Mohaca the Gale,17445070,0,0,0,0,0,0,0,0,1164605,0,0,3135807,0,0,0,0,0,0,0,0,0,0,0,0
Glitch (╯°□°)╯︵︵,myb5bkn,28,4,Terro the Seeker,21227334,0,0,0,0,0,0,0,0,1734322,2047941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glitch (╯°□°)╯︵︵,myb5bkn,28,5,Mohaca the Gale,24614321,0,1526,0,0,0,0,93163,0,0,0,0,0,210672,993608,112668,1970001,0,0,1487,2926,0,0,0,933
Glitch (╯°□°)╯︵︵,myb5bkn,28,6,Terro the Seeker,28503699,0,0,0,0,0,0,0,0,1438364,2451013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,0,Mohaca the Gale,4026844,988204,0,0,0,0,0,2248028,0,790611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,1,Sterl the Unmaker,7921310,0,0,0,0,0,0,0,0,0,1690718,0,0,0,2202449,0,0,0,0,0,0,0,1297,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,2,Mohaca the Gale,11976983,939043,0,0,0,0,0,2343476,0,0,0,0,773153,0,0,0,0,0,0,0,0,0,0,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,3,Mohaca the Gale,15756965,1002900,0,0,279691,0,184436,0,2312954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,4,Terro the Seeker,20037948,984972,990433,0,0,0,0,0,2305577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,5,Mohaca the Gale,24267514,0,0,0,0,0,0,833879,502561,970018,0,0,0,0,0,0,1923106,0,0,0,0,0,0,0,0
[RG]Atakir ಠ_ಠ,ze4kv,28,6,Terro the Seeker,27966387,0,0,0,0,0,0,0,0,950288,1515093,0,0,0,0,0,1233490,0,0,0,0,0,0,0,0
Apokolipse,n2yd8d,28,0,Mohaca the Gale,4721120,0,0,0,0,970056,0,879297,0,0,0,0,0,0,0,1116463,1755162,0,0,141,0,0,0,0,0
Apokolipse,n2yd8d,28,1,Sterl the Unmaker,7563321,876612,1044624,465258,0,455706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apokolipse,n2yd8d,28,2,Mohaca the Gale,11280681,611734,0,702131,0,1263065,0,0,909778,230650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apokolipse,n2yd8d,28,3,Mohaca the Gale,15047051,0,0,0,0,1061517,0,1139133,0,897565,0,442237,0,225915,0,0,0,0,0,0,0,0,0,0,0
Apokolipse,n2yd8d,28,4,Terro the Seeker,18892839,1119359,1766943,0,0,0,0,0,0,0,0,0,0,0,0,0,959485,0,0,0,0,0,0,0,0
Apokolipse,n2yd8d,28,5,Mohaca the Gale,22752818,0,2198,0,0,680966,0,738112,0,921264,0,501923,0,51737,0,0,963776,0,0,0,0,0,0,0,0
Apokolipse,n2yd8d,28,6,Terro the Seeker,26621849,0,0,0,0,0,0,0,0,896667,1982873,989489,0,0,0,0,0,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,0,Mohaca the Gale,3638009,0,181,0,0,0,0,692048,1152041,1007590,0,0,0,0,0,0,786147,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,1,Sterl the Unmaker,7576477,1004392,1079808,0,0,0,436,643,824246,0,1028940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,2,Mohaca the Gale,11210064,0,2613,0,0,0,0,0,1018900,1008934,0,0,0,0,0,0,1603138,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,3,Mohaca the Gale,14021583,1001376,549,0,0,0,0,1809594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,4,Terro the Seeker,16041628,0,0,0,0,0,0,0,0,1000222,1019822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,5,Mohaca the Gale,21609744,0,183,0,0,460,0,1881705,1901115,981574,0,0,0,0,0,0,803075,0,0,0,0,0,0,0,0
ZeroTwo♡,nbee3,27,6,Terro the Seeker,25349772,0,0,0,0,0,0,0,0,1303227,1618672,818110,0,0,0,0,0,0,0,0,0,0,0,0,18
Peteyjack13,dme2q7m,24,0,Mohaca the Gale,4224709,0,19004,0,0,260192,0,185702,191621,2247868,0,0,0,0,1320319,0,0,0,0,0,0,0,0,0,0
